Source-CPFAnchor-ID	SNAC-CPFAnchor-ID	Role	ArcRole	Source-CPFTarget-ID	SNAC-CPFTarget-ID
nypl2019.24862.c01		person	correspondedWith	nypl2019.24862.r003	
nypl2019.24862.c01		person	associatedWith	nypl2019.24862.r004	
nypl2019.24862.c01		person	correspondedWith	nypl2019.24862.r005	
nypl2019.24862.c01		person	associatedWith	nypl2019.24862.r006	
nypl2019.24862.c01		person	correspondedWith	nypl2019.24862.r007	
nypl2019.24862.c01		person	correspondedWith	nypl2019.24862.r008	
nypl2019.24862.c01		person	correspondedWith	nypl2019.24862.r009	
nypl2019.24862.c01		family	associatedWith	nypl2019.24862.r010	
nypl2019.24862.c01		family	correspondedWith	nypl2019.24862.r011	
nypl2019.24862.c01		corporateBody	associatedWith	nypl2019.24862.r012	
nypl2019.24862.r001		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r002		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r003		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r004		person	associatedWith	nypl2019.24862.c01	
nypl2019.24862.r005		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r006		person	associatedWith	nypl2019.24862.c01	
nypl2019.24862.r007		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r008		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r009		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r010		person	associatedWith	nypl2019.24862.c01	
nypl2019.24862.r011		person	correspondedWith	nypl2019.24862.c01	
nypl2019.24862.r012		person	associatedWith	nypl2019.24862.c01	
nypl2019.24876.c01		person	correspondedWith	nypl2019.24876.r001	
nypl2019.24876.c01		person	correspondedWith	nypl2019.24876.r002	
nypl2019.24876.c01		person	correspondedWith	nypl2019.24876.r003	
nypl2019.24876.c01		person	correspondedWith	nypl2019.24876.r004	
nypl2019.24876.c01		corporateBody	associatedWith	nypl2019.24876.r005	
nypl2019.24876.r001		person	correspondedWith	nypl2019.24876.c01	
nypl2019.24876.r002		person	correspondedWith	nypl2019.24876.c01	
nypl2019.24876.r003		person	correspondedWith	nypl2019.24876.c01	
nypl2019.24876.r004		person	correspondedWith	nypl2019.24876.c01	
nypl2019.24876.r005		person	associatedWith	nypl2019.24876.c01	
nypl2019.29942.c01		person	associatedWith	nypl2019.29942.r001	
nypl2019.29942.c01		person	associatedWith	nypl2019.29942.r002	
nypl2019.29942.c01		person	associatedWith	nypl2019.29942.r003	
nypl2019.29942.c01		corporateBody	associatedWith	nypl2019.29942.r004	
nypl2019.29942.r001		person	associatedWith	nypl2019.29942.c01	
nypl2019.29942.r002		person	associatedWith	nypl2019.29942.c01	
nypl2019.29942.r003		person	associatedWith	nypl2019.29942.c01	
nypl2019.29942.r004		person	associatedWith	nypl2019.29942.c01	
nypl2019.25822.c01		person	associatedWith	nypl2019.25822.r001	
nypl2019.25822.c01		person	correspondedWith	nypl2019.25822.r002	
nypl2019.25822.r001		person	associatedWith	nypl2019.25822.c01	
nypl2019.25822.r002		person	correspondedWith	nypl2019.25822.c01	
nypl2019.28385.c01		person	correspondedWith	nypl2019.28385.r001	
