id,snac_resource_url,type,title,display_entry,abstract,link,extent,repo_ic_id,related_constellation_id,related_name,arcrole,related_constellation_url
7557699,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7557699,696,[Culinary ephemera : war]. Box 342. 1941-1943.,"Berolzheimer, Ruth. [Culinary ephemera : war]. Box 342.",,http://www.worldcat.org/oclc/457140577,15 items.,76787026,39989146,National Live Stock and Meat Board (U.S.),creatorOf,http://snac-dev.iath.virginia.edu/view/39989146
,,,,,,,,,30973069,"Weyant, Zella Hale.",creatorOf,http://snac-dev.iath.virginia.edu/view/30973069
,,,,,,,,,52978811,Parents' Magazine.,creatorOf,http://snac-dev.iath.virginia.edu/view/52978811
,,,,,,,,,12976509,Board of Water and Electric Light Commissioners.,creatorOf,http://snac-dev.iath.virginia.edu/view/12976509
,,,,,,,,,65768246,General Foods Corp.,creatorOf,http://snac-dev.iath.virginia.edu/view/65768246
,,,,,,,,,21664540,"Taylor, Mary Lee",creatorOf,http://snac-dev.iath.virginia.edu/view/21664540
,,,,,,,,,28361171,"Culinary Arts Institute (Chicago, IL).",creatorOf,http://snac-dev.iath.virginia.edu/view/28361171
,,,,,,,,,51036151,New York (State). Bureau of Milk Publicity,creatorOf,http://snac-dev.iath.virginia.edu/view/51036151
,,,,,,,,,9232414,"Berolzheimer, Ruth",creatorOf,http://snac-dev.iath.virginia.edu/view/9232414
,,,,,,,,,26589913,Kerr Glass Mfg. Corp.,creatorOf,http://snac-dev.iath.virginia.edu/view/26589913
,,,,,,,,,59611661,Good Housekeeping Institute,creatorOf,http://snac-dev.iath.virginia.edu/view/59611661
,,,,,,,,,43160724,"Knox, Charles B., Mrs.",creatorOf,http://snac-dev.iath.virginia.edu/view/43160724
,,,,,,,,,36338470,Charles B. Knox Gelatine Co.,creatorOf,http://snac-dev.iath.virginia.edu/view/36338470
,,,,,,,,,30530288,Quaker Oats Co.,creatorOf,http://snac-dev.iath.virginia.edu/view/30530288
,,,,,,,,,60576318,Pet Milk Co.,creatorOf,http://snac-dev.iath.virginia.edu/view/60576318
,,,,,,,,,35716613,Nash-Kelvinator Corp.,creatorOf,http://snac-dev.iath.virginia.edu/view/35716613
