CountofExhibtions,ID,MoMACEMSID,ConstituentType,AlphaSortName,DisplayName,FirstName,MiddleName,LastName,Institution,Suffix,Nationality,BeginYear,EndYear,DisplayBio,Gender,VIAFID,WikidataQID,ULANID,SNACID,URL
46,4241,4415,Individual,Oppenheim Dennis,Dennis Oppenheim,Dennis,,Oppenheim,,,American,1938,2011,"American, 1938–2011",Male,113655319,Q439856,500011050,35802163,http://www.moma.org/collection/artists/4415
46,6288,6582,Individual,Zorach William,William Zorach,William,,Zorach,,,American,1889,1966,"American, 1889–1966",Male,52754181,Q385941,500003603,20182035,http://www.moma.org/collection/artists/6582
46,3319,3464,Individual,Lehmbruck Wilhelm,Wilhelm Lehmbruck,Wilhelm,,Lehmbruck,,,German,1881,1919,"German, 1881–1919",Male,32269139,Q551282,500019056,41531445,http://www.moma.org/collection/artists/3464
46,3229,3373,Individual,Lange Dorothea,Dorothea Lange,Dorothea,,Lange,,,American,1895,1965,"American, 1895–1965",Female,77594538,Q230673,500007674,33348530,http://www.moma.org/collection/artists/3373
45,1189,1247,Individual,Cornell Joseph,Joseph Cornell,Joseph,,Cornell,,,American,1903,1972,"American, 1903–1972",Male,100297313,Q694774,500003169,15136427,http://www.moma.org/collection/artists/1247
45,2890,3016,Individual,Katz Alex,Alex Katz,Alex,,Katz,,,American,1927,,"American, born 1927",Male,95819816,Q919265,500022493,52886840,http://www.moma.org/collection/artists/3016
45,5039,5242,Individual,Schmidt-Rottluff Karl,Karl Schmidt-Rottluff,Karl,,Schmidt-Rottluff,,,German,1884,1976,"German, 1884–1976",Male,4964287,Q161143,500005940,57345268,http://www.moma.org/collection/artists/5242
45,4350,4533,Individual,Pechstein Max,Max Pechstein,Max,,Pechstein,,,German,1881,1955,"German, 1881–1955",Male,5095548,Q162105,500032015,25234905,http://www.moma.org/collection/artists/4533
44,26956,9295,Individual,Elderfield John,John Elderfield,John,,Elderfield,,,British,1943,,"British, born 1943",,95695332,Q6231541,500002419,,
44,298,317,Individual,Balthus (Baltusz Klossowski de Rola),Balthus (Baltusz Klossowski de Rola),,,Balthus (Baltusz Klossowski de Rola),,,French,1908,2001,"French, 1908–2001",Male,68923634,Q325925,500021167,11149497,http://www.moma.org/collection/artists/317
44,4899,5098,Individual,Ryman Robert,Robert Ryman,Robert,,Ryman,,,American,1930,,"American, born 1930",Male,96561254,Q640936,500118752,31357902,http://www.moma.org/collection/artists/5098
44,6006,6288,Individual,Weiner Lawrence,Lawrence Weiner,Lawrence,Charles,Weiner,,,American,1942,,"American, born 1942",Male,12320420,Q680192,500013081,34962831,http://www.moma.org/collection/artists/6288
44,6035,6318,Individual,Wesselmann Tom,Tom Wesselmann,Tom,,Wesselmann,,,American,1931,2004,"American, 1931–2004",Male,49321976,Q703660,500025122,1146204,http://www.moma.org/collection/artists/6318
44,4845,5044,Individual,Rothenberg Susan,Susan Rothenberg,Susan,,Rothenberg,,,American,1945,,"American, born 1945",Female,95833918,Q436782,500024727,24388535,http://www.moma.org/collection/artists/5044
43,27136,13938,Individual,Rubin William S.,William S. Rubin,William,,Rubin,,,American,1927,2006,"American, 1927–2006",Male,29540160,Q951624,,,
43,5751,5983,Individual,Tuttle Richard,Richard Tuttle,Richard,,Tuttle,,,American,1941,,"American, born 1941",Male,46985056,Q836743,500116277,13923503,http://www.moma.org/collection/artists/5983
42,2177,2268,Individual,Gottlieb Adolph,Adolph Gottlieb,Adolph,,Gottlieb,,,American,1903,1974,"American, 1903–1974",Male,62353349,Q365388,500004904,73415982,http://www.moma.org/collection/artists/2268
42,2963,3091,Individual,Kiesler Frederick,Frederick Kiesler,Frederick,J.,Kiesler,,,American,1890,1965,"American, born Romania. 1890–1965",Male,24651477,Q113775,500031038,45123653,http://www.moma.org/collection/artists/3091
42,4307,4488,Individual,Paolozzi Eduardo,Eduardo Paolozzi,Eduardo,Luigi,Paolozzi,,,British,1924,2005,"British, 1924–2005",Male,14809834,Q165397,500027981,50957345,http://www.moma.org/collection/artists/4488
42,5999,6281,Individual,Wegman William,William Wegman,William,,Wegman,,,American,1943,,"American, born 1943",Male,209780234,Q567366,500118696,11181143,http://www.moma.org/collection/artists/6281
41,193,208,Individual,Arbus Diane,Diane Arbus,Diane,,Arbus,,,American,1923,1971,"American, 1923–1971",Female,64802925,Q234608,500012758,54966210,http://www.moma.org/collection/artists/208
